"State","MeanSalaryAdjusted","MeanSalaryUnadjusted","MeanSalary","NumberJobs","HomePrice","LivingCost","Rent","PlusRent","PurPower"
"AL",101598,90219,47480,2310,146000,1113.7,1082.5,2196.2,5240.6
"AR",93194,84434,45020,1810,140600,837.3,983,1820.3,8087.7
"AZ",104508,101175.666666667,49550,15120,246466.666666667,929.566666666667,1337.56666666667,2267.13333333333,6644.6
"CA",104208.666666667,125268.777777778,65661.1111111111,46012.2222222222,798266.666666667,1194.35555555556,2979.2,4173.55555555556,7658.76666666667
"CO",104428,107223.333333333,53973.3333333333,11240,362666.666666667,1046.36666666667,1791.46666666667,2837.83333333333,7568.33333333333
"DC",101188,119806,70980,63760,407700,1183.2,2821.2,4004.4,7517.5
"FL",94378.4,95930.2,47216,11044,246720,1040.76,1913.3,2954.06,6922.46
"GA",109849,106334,52750,38110,219600,1082.3,1865.4,2947.7,8063
"HI",72811,90796,54870,1590,678200,1464.5,2498.7,3963.2,5506.6
"IA",99878,93386,52220,4060,188800,979.6,1153.1,2132.7,6685.7
"ID",93112,87712,45470,2390,287300,964.9,1662.3,2627.2,5098.7
"IL",98726,102082,55670,42090,225900,1088.8,2198.4,3287.2,8346.2
"IN",96448,88732,49380,8470,166800,948.6,1387,2335.6,7499
"KS",103690,92595,44500,1220,132900,832.5,931.6,1764.1,7357.7
"KY",99784,90861.5,45320,3045,170350,922.85,1181,2103.85,6542.3
"MA",102171,114227,67370,54140,465000,1207.6,3005.1,4212.7,7140.5
"MD",107282,115006,57740,16200,267800,1039.3,1600.5,2639.8,8399.9
"MI",95419.5,94145.5,54410,15550,226350,995.85,1624.65,2620.5,8331.4
"MN",99228,101411,57420,22750,270700,1117.3,1806.7,2924,7076.3
"MO",95308,88732,50200,12480,192900,933.5,1286.4,2219.9,7848.9
"NC",110790.25,103815,52022.5,8430,213850,985.175,1656.375,2641.55,7504.7
"NE",99826,92339,48690,5220,177200,1064.1,1160,2224.1,6542.6
"NJ",96686,118247,64550,98650,442500,1141.5,2419.2,3560.7,9619.2
"NM",91010,87097,46860,1770,199500,896.4,1302.1,2198.5,7555.2
"NV",107175,104495,45600,3900,279900,965.6,1467.2,2432.8,7702.6
"NY",96109.4,98649.8,54120,22378,220200,1101.74,1725.62,2827.36,6573.66
"OH",103885.6,93923.8,50154,7420,154880,960.02,1205.6,2165.62,7205.68
"OK",96902,88092,46645,2705,142450,899.3,1166.4,2065.7,8021.7
"OR",95123.5,95064.5,51740,8320,345650,1034.75,1739.85,2774.6,6056.35
"PA",98499,98286,53120,18715,188000,1180.85,1703.25,2884.1,7130.3
"SC",95609,91976,46200,2000,255100,1091.6,1866.6,2958.2,7482.4
"TN",94272,87952.5,46490,3440,197600,960.15,1697.45,2657.6,6831.1
"TX",109868.4,109190.4,51986,27846,239760,936.2,1765.68,2701.88,9282.16
"UT",106291,105334,50920,9600,366000,917.7,1625.8,2543.5,8676.4
"VA",105258,101153,51330,6390,229600,957.3,1440.7,2398,8079.7
"WA",103975.666666667,107616.666666667,56920,27433.3333333333,377400,1060.6,1848.26666666667,2908.86666666667,7894.96666666667
"WI",93409,89792,51965,7740,245000,981.15,1449,2430.15,7445.35
"AK",95195,95195,54000,12000,310300,1100,1200,2300,8700
"CT",98937,98937,54000,25100,275100,1200,1400,2600,8900
"DE",98214,98214,54000,1900,261100,1100,1300,2400,8800
"LA",92690,92690,54000,8200,216100,1000,1100,2100,8300
"ME",92121,92121,54000,8300,255300,1100,1200,2300,8300
"MS",91185,91185,54000,7040,128600,900,1000,1900,8200
"MT",90799,90799,54000,6200,279100,1000,1100,2100,8200
"ND",90107,90107,54000,5400,239000,1000,1100,2100,8100
"NH",97415,97415,54000,15000,292600,1200,1300,2500,8800
"RI",98507,98507,54000,9700,283500,1200,1300,2500,8900
"SD",89605,89605,54000,5900,204600,900,1000,1900,8100
"VT",92045,92045,54000,9700,255500,1100,1200,2300,8300
"WV",90977,90977,54000,5600,96300,900,1000,1900,8200
"WY",90107,90107,54000,4200,235200,1000,1100,2100,8100
